,APN,Registered Date,Property Type,Property Zip
383,4117002012,9/8/14,Single Family,90293.0
384,6033008002,6/9/14,Single Family,90044.0
385,2159017010,12/4/14,Single Family,91316.0
386,6068003030,1/31/14,Single Family,90059.0
387,2761033005,4/9/14,Single Family,91324.0
388,6041009018,1/22/14,Single Family,90003.0
389,5110025021,4/2/14,Multi-Family,90037.0
390,4128012018,10/2/14,Single Family,90045.0
391,2745011035,12/5/14,Single Family,91311.0
392,7421023029,11/30/14,Multi-Family,90744.0
393,2681021017,12/4/14,Single Family,91344.0
394,5515001007,10/21/14,Single Family,90004.0
395,5180013045,4/29/14,Single Family,90033.0
396,6117031021,2/3/14,Single Family,90247.0
397,5043017022,6/23/14,Multi-Family,90016.0
398,2692019021,5/9/14,Single Family,91325.0
399,2679004015,10/8/14,Single Family,91344.0
400,6013008009,5/6/14,Multi-Family,90044.0
401,5186016013,11/28/14,Single Family,90023.0
402,2649021001,10/22/14,Single Family,91345.0
403,4325001131,1/29/14,Single Family,90024.0
404,6031004010,9/22/14,Single Family,90003.0
405,5103008023,12/2/14,Single Family,90011.0
406,5109007007,8/25/14,Multi-Family,90011.0
407,6004033015,3/21/14,Multi-Family,90044.0
408,2505010021,1/13/14,Single Family,91342.0
409,2501014046,11/3/14,Single Family,91342.0
410,6040036010,6/11/14,Multi-Family,90003.0
411,2419023022,8/4/14,Single Family,91601.0
412,5424018003,3/5/14,Single Family,90026.0
413,2671023011,12/3/14,Single Family,91343.0
414,2255010007,8/20/14,Single Family,91316.0
415,2762037045,12/16/14,Single Family,91324.0
416,2027007024,9/8/14,Single Family,91307.0
417,2620027001,5/8/14,Single Family,91331.0
418,4239025042,6/13/14,Multi-Family,90291.0
419,5051032014,5/12/14,Multi-Family,90018.0
420,4369036022,12/22/14,Single Family,90077.0
421,2628006042,7/22/14,Single Family,91331.0
422,5110019025,3/25/14,Single Family,90037.0
423,5075008017,3/14/14,Multi-Family,90006.0
424,5551027007,1/15/14,Single Family,90046.0
425,6051023019,9/30/14,Single Family,90002.0
426,5485003036,9/29/14,Single Family,90042.0
427,6035025020,1/30/14,Single Family,90047.0
428,6072024022,2/21/14,Multi-Family,90059.0
429,2708025004,12/5/14,Single Family,91311.0
430,6074022008,11/5/14,Single Family,90061.0
431,2505029030,6/9/14,Single Family,91342.0
432,2353034009,8/20/14,Single Family,91602.0
433,6065004015,1/15/14,Single Family,90002.0
434,5689004024,1/30/14,Single Family,90041.0
435,2872019031,11/20/14,Single Family,91326.0
436,2222023021,2/4/14,Single Family,91406.0
437,5223015004,1/29/14,Single Family,90032.0
438,2254035013,6/17/14,Single Family,91316.0
439,5437024025,8/4/14,Single Family,90039.0
440,2638025016,1/3/14,Single Family,91402.0
441,5153002006,1/29/14,Single Family,90026.0
